id,cover,name,rating
1092,//images.igdb.com/igdb/image/upload/t_thumb/co217m.jpg,Donkey Kong Country 2: Diddy's Kong Quest,1
1093,//images.igdb.com/igdb/image/upload/t_thumb/co289h.jpg,Donkey Kong Land 2,1
1094,//images.igdb.com/igdb/image/upload/t_thumb/co217n.jpg,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1
1097,//images.igdb.com/igdb/image/upload/t_thumb/co289j.jpg,Donkey Kong Jungle Beat,1
1100,//images.igdb.com/igdb/image/upload/t_thumb/co1wf4.jpg,Donkey Kong Country Returns,1
1185,//images.igdb.com/igdb/image/upload/t_thumb/co1tzg.jpg,Crash Bandicoot,1
1189,//images.igdb.com/igdb/image/upload/t_thumb/co1ott.jpg,Crash Twinsanity,1
1192,//images.igdb.com/igdb/image/upload/t_thumb/co1nim.jpg,Crash Team Racing,1
1193,//images.igdb.com/igdb/image/upload/t_thumb/co1nw8.jpg,Crash Nitro Kart,1
1220,//images.igdb.com/igdb/image/upload/t_thumb/co1tq2.jpg,Kingdom Hearts: Chain of Memories,1
1272,//images.igdb.com/igdb/image/upload/t_thumb/co1vwv.jpg,SimCity,1
1275,//images.igdb.com/igdb/image/upload/t_thumb/co1o4h.jpg,SimCity 4,1
1289,//images.igdb.com/igdb/image/upload/t_thumb/co1oym.jpg,Ratchet & Clank,1
1322,//images.igdb.com/igdb/image/upload/t_thumb/co1pxr.jpg,Ty the Tasmanian Tiger,1
1351,//images.igdb.com/igdb/image/upload/t_thumb/co2dyv.jpg,Noby Noby Boy,1
1353,//images.igdb.com/igdb/image/upload/t_thumb/co1iod.jpg,flOw,1
1354,//images.igdb.com/igdb/image/upload/t_thumb/co1q8r.jpg,Flower,1
1373,//images.igdb.com/igdb/image/upload/t_thumb/co1nsk.jpg,F1 2012,1
1374,//images.igdb.com/igdb/image/upload/t_thumb/co1smr.jpg,F1 2011,1
1375,//images.igdb.com/igdb/image/upload/t_thumb/co1smq.jpg,F1 2010,1
1459,//images.igdb.com/igdb/image/upload/t_thumb/co1pnk.jpg,LocoRoco,1
1460,//images.igdb.com/igdb/image/upload/t_thumb/iml6ndgm3m3y7c8oneb8.jpg,LocoRoco Cocoreccho,1
1488,//images.igdb.com/igdb/image/upload/t_thumb/co1oqo.jpg,Gradius V,1
1489,//images.igdb.com/igdb/image/upload/t_thumb/cnb5lnetljfzxhnh5aqr.jpg,Gradius ReBirth,1
1492,//images.igdb.com/igdb/image/upload/t_thumb/co2eth.jpg,SimCity 64,1
1494,//images.igdb.com/igdb/image/upload/t_thumb/co2den.jpg,SimCity DS,1
1515,//images.igdb.com/igdb/image/upload/t_thumb/co1zhp.jpg,Pokémon Sapphire,1
1516,//images.igdb.com/igdb/image/upload/t_thumb/co1zip.jpg,Pokémon LeafGreen,1
1517,//images.igdb.com/igdb/image/upload/t_thumb/co1zhr.jpg,Pokémon Emerald,1
1518,//images.igdb.com/igdb/image/upload/t_thumb/co1zio.jpg,Pokémon Pearl,1
1519,//images.igdb.com/igdb/image/upload/t_thumb/co1zhu.jpg,Pokémon Platinum,1
1520,//images.igdb.com/igdb/image/upload/t_thumb/co1z59.jpg,Pokémon SoulSilver,1
1521,//images.igdb.com/igdb/image/upload/t_thumb/co1z1x.jpg,Pokémon Black,1
1522,//images.igdb.com/igdb/image/upload/t_thumb/co1z21.jpg,Pokémon White,1
1541,//images.igdb.com/igdb/image/upload/t_thumb/gjunijbafiktui4ypc14.jpg,Wipeout Fusion,1
1542,//images.igdb.com/igdb/image/upload/t_thumb/co1pok.jpg,Wipeout Pure,1
1543,//images.igdb.com/igdb/image/upload/t_thumb/j8q2lyhhjcexjne1vtsj.jpg,Wipeout Pulse,1
1544,//images.igdb.com/igdb/image/upload/t_thumb/co2h0b.jpg,Wipeout HD,1
