,id,face,median_h,median_s,median_v,std_h,std_s,std_v,binary,has_cars
0,1,0,15.0,0.8888888955116272,18.0,108.11262512207033,0.4127956032752991,50.91908264160156,1,False
1,100,0,63.33333587646485,0.0732984319329261,154.0,55.796836853027344,0.187914565205574,80.55110931396484,0,False
2,1000,0,40.0,0.4526315927505493,51.0,94.55298614501952,0.260581225156784,60.66009521484375,0,False
3,1001,0,85.81607055664062,0.8297872543334961,195.0,79.90442657470703,0.3158816695213318,62.97161102294922,0,False
4,10017,1,210.2702789306641,0.3266996741294861,172.0,104.40177154541016,0.1847647577524185,66.2923812866211,0,False
5,10023,1,220.8510589599609,0.2758620679378509,110.0,82.64541625976562,0.2375424206256866,72.98334503173828,0,False
6,10031,0,97.39130401611328,0.3177966177463531,219.0,89.72891235351562,0.2517573833465576,43.49100112915039,0,False
7,1005,1,131.25,0.4285714328289032,39.0,47.36537170410156,0.2597278356552124,59.73812484741211,0,False
8,10067,0,0.0,0.0039215688593685,255.0,103.4091339111328,0.2990632057189941,73.26103210449219,0,False
9,10083,1,10.0,0.8611111044883728,43.0,146.88221740722656,0.3818359673023224,58.56911087036133,1,False
10,10084,1,71.2987060546875,0.523809552192688,154.0,105.66460418701172,0.2219298779964447,67.41011810302734,0,False
11,1009,0,26.66666603088379,0.4772727191448211,99.0,75.84644317626953,0.2395246177911758,85.8386459350586,1,False
12,10093,0,21.42856979370117,0.2068965584039688,41.0,80.95125579833984,0.3159550130367279,73.8889389038086,0,False
13,1010,0,203.8356170654297,0.2924528419971466,136.0,105.0882568359375,0.2909834086894989,67.81195068359375,0,False
14,1011,1,31.25,0.4384615421295166,162.0,60.247371673583984,0.3131110668182373,72.46955871582031,1,False
15,1013,0,215.2941131591797,0.2173912972211837,154.0,109.62451171875,0.1955979317426681,75.57921600341797,1,False
16,1014,0,180.0,0.1714285761117935,207.0,107.86042022705078,0.3436930775642395,78.54594421386719,1,True
17,10142,0,60.0,0.0909090936183929,49.0,79.71022033691406,0.1170956417918205,51.09446334838867,0,False
18,10158,1,48.0,0.1980676352977752,181.0,138.069580078125,0.2182560712099075,63.25182342529297,1,False
