,path,median_h,median_s,median_v,std_h,std_s,std_v,id,cover,name,rating,binary
29,1025.jpg,37.864078521728516,0.5508021116256714,187.0,56.434024810791016,0.17017391324043274,39.50910186767578,1025,//images.igdb.com/igdb/image/upload/t_thumb/co1uje.jpg,Zelda II: The Adventure of Link,2.0,False
30,1026.jpg,42.97297286987305,0.4457831382751465,166.0,92.76620483398438,0.14498473703861237,27.16285514831543,1026,//images.igdb.com/igdb/image/upload/t_thumb/co1nqk.jpg,The Legend of Zelda: A Link to the Past,2.0,False
31,1027.jpg,38.10810852050781,0.5441176295280457,136.0,91.8801040649414,0.13415953516960144,29.323200225830078,1027,//images.igdb.com/igdb/image/upload/t_thumb/co2dwq.jpg,The Legend of Zelda: Link's Awakening DX,2.0,False
32,1029.jpg,38.901100158691406,0.5870967507362366,155.0,91.21732330322266,0.13678601384162903,26.414243698120117,1029,//images.igdb.com/igdb/image/upload/t_thumb/co1n6b.jpg,The Legend of Zelda: Ocarina of Time,3.0,False
33,1030.jpg,96.92308044433594,0.5233644843101501,32.0,61.57914733886719,0.178987517952919,40.58135223388672,1030,//images.igdb.com/igdb/image/upload/t_thumb/co1n6a.jpg,The Legend of Zelda: Majora's Mask,3.0,False
34,10304.jpg,42.0,0.27450981736183167,58.0,55.139259338378906,0.231867715716362,72.25342559814453,10304,//images.igdb.com/igdb/image/upload/t_thumb/co25ph.jpg,Fallout: New Vegas - Dead Money,5.0,True
35,10305.jpg,26.400001525878906,0.4000000059604645,38.0,64.78014373779297,0.30867817997932434,60.28566360473633,10305,//images.igdb.com/igdb/image/upload/t_thumb/co25pi.jpg,Fallout: New Vegas - Honest Hearts,5.0,True
36,10306.jpg,107.36842346191406,0.1734693944454193,62.0,76.95219421386719,0.3082866966724396,91.02833557128906,10306,//images.igdb.com/igdb/image/upload/t_thumb/co25pj.jpg,Fallout: New Vegas - Old World Blues,5.0,True
37,10307.jpg,24.870468139648438,0.7414634227752686,91.0,51.685020446777344,0.21093031764030457,73.33209991455078,10307,//images.igdb.com/igdb/image/upload/t_thumb/co25pk.jpg,Fallout: New Vegas - Lonesome Road,5.0,True
38,10317.jpg,67.5,0.4545454680919647,56.0,29.473743438720703,0.25315243005752563,74.64832305908203,10317,//images.igdb.com/igdb/image/upload/t_thumb/shps1juuwydhrgtu3hwa.jpg,Hamilton's Great Adventure,2.0,False
39,10321.jpg,204.61538696289062,0.40697672963142395,97.0,93.59523010253906,0.24948054552078247,55.84558868408203,10321,//images.igdb.com/igdb/image/upload/t_thumb/iakss7qofxvrcb2mekag.jpg,Fire,2.0,False
40,1033.jpg,45.65217208862305,0.41735535860061646,237.0,75.52216339111328,0.22097474336624146,54.23237991333008,1033,//images.igdb.com/igdb/image/upload/t_thumb/co1nqu.jpg,The Legend of Zelda: The Wind Waker,2.0,False
41,1034.jpg,60.0,0.4838709533214569,78.0,95.63740539550781,0.23553971946239471,48.60140609741211,1034,//images.igdb.com/igdb/image/upload/t_thumb/co25wk.jpg,The Legend of Zelda: Four Swords Adventures,1.0,False
42,10344.jpg,201.35592651367188,0.12328767031431198,122.0,74.2906494140625,0.27669408917427063,54.39509201049805,10344,//images.igdb.com/igdb/image/upload/t_thumb/etp4640wzikctno5is52.jpg,Galactic Civilizations,2.0,False
43,1035.jpg,138.9130401611328,0.5647059082984924,163.0,65.72106170654297,0.23969866335391998,59.765052795410156,1035,//images.igdb.com/igdb/image/upload/t_thumb/co1uja.jpg,The Legend of Zelda: The Minish Cap,2.0,False
44,1036.jpg,70.90908813476562,0.17543859779834747,113.0,92.42452239990234,0.21947625279426575,55.55634689331055,1036,//images.igdb.com/igdb/image/upload/t_thumb/co1uij.jpg,The Legend of Zelda: Twilight Princess,3.0,False
45,1037.jpg,40.6779670715332,0.37142857909202576,163.0,76.15251159667969,0.15212523937225342,46.43932342529297,1037,//images.igdb.com/igdb/image/upload/t_thumb/co1nr8.jpg,The Legend of Zelda: Phantom Hourglass,2.0,False
46,10373.jpg,223.78378295898438,0.4054054021835327,166.0,66.33143615722656,0.2258540689945221,66.43230438232422,10373,//images.igdb.com/igdb/image/upload/t_thumb/co1n1n.jpg,Azure Striker GUNVOLT,2.0,False
47,1038.jpg,90.0,0.4754098355770111,184.0,76.42223358154297,0.24068915843963623,62.19715881347656,1038,//images.igdb.com/igdb/image/upload/t_thumb/co1uj9.jpg,The Legend of Zelda: Spirit Tracks,2.0,False
48,1039.jpg,79.31034088134766,0.389380544424057,194.0,117.96900177001953,0.30649271607398987,70.2270736694336,1039,//images.igdb.com/igdb/image/upload/t_thumb/co1nl5.jpg,The Legend of Zelda: Ocarina of Time 3D,3.0,False
49,10399.jpg,67.5,0.057692307978868484,137.0,100.07596588134766,0.2434278130531311,74.21083068847656,10399,//images.igdb.com/igdb/image/upload/t_thumb/nyjcv5xs5wx0awfghgxt.jpg,Hearts of Iron III: Semper Fi,2.0,False
50,1040.jpg,165.0,0.2777777910232544,39.0,111.04084777832031,0.24127309024333954,72.12008666992188,1040,//images.igdb.com/igdb/image/upload/t_thumb/co2n91.jpg,Alice: Madness Returns,5.0,True
51,1042.jpg,13.812949180603027,0.6166666746139526,125.0,59.423545837402344,0.35672956705093384,86.71320343017578,1042,//images.igdb.com/igdb/image/upload/t_thumb/co23af.jpg,Just Cause,4.0,True
52,10431.jpg,110.0,0.6962617039680481,148.0,90.12237548828125,0.35565683245658875,73.01148223876953,10431,//images.igdb.com/igdb/image/upload/t_thumb/im4vbjsoqyugxlzs1pyg.jpg,Vsevolod,2.0,False
53,10453.jpg,195.0,0.3989499509334564,174.0,109.02654266357422,0.20816576480865479,43.849609375,10453,//images.igdb.com/igdb/image/upload/t_thumb/bcuyklxi81n3luy4mpnu.jpg,Legend of Hero Tonma,2.0,False
54,1047.jpg,67.5,0.057851240038871765,251.0,101.02229309082031,0.29172253608703613,52.981689453125,1047,//images.igdb.com/igdb/image/upload/t_thumb/co1xjk.jpg,Worms 3D,1.0,False
55,1048.jpg,7.2727274894714355,0.05506531149148941,15.0,71.71588897705078,0.25927162170410156,69.26636505126953,1048,//images.igdb.com/igdb/image/upload/t_thumb/co2dm6.jpg,Hitman: Blood Money,5.0,True
56,1049.jpg,12.0,0.35555556416511536,77.0,127.9778823852539,0.3582911193370819,110.65609741210938,1049,//images.igdb.com/igdb/image/upload/t_thumb/co1ovw.jpg,Hitman: Contracts,4.0,True
57,105.jpg,222.0,0.4054054021835327,70.0,119.9607162475586,0.2836742103099823,71.24623107910156,105,//images.igdb.com/igdb/image/upload/t_thumb/co2h9s.jpg,Need for Speed: Hot Pursuit,2.0,False
58,10500.jpg,205.71429443359375,0.4938271641731262,118.0,137.3391571044922,0.28187355399131775,80.55058288574219,10500,//images.igdb.com/igdb/image/upload/t_thumb/co1zh7.jpg,Blazing Star,2.0,False
59,10501.jpg,206.6666717529297,0.3076923191547394,47.0,74.62748718261719,0.18556883931159973,67.22606658935547,10501,//images.igdb.com/igdb/image/upload/t_thumb/co24rl.jpg,Expeditions: Viking,5.0,True
60,1051.jpg,60.0,0.5070095062255859,213.0,117.54579162597656,0.3458426892757416,102.99329376220703,1051,//images.igdb.com/igdb/image/upload/t_thumb/co25jx.jpg,Mirror's Edge,4.0,True
61,1052.jpg,219.23077392578125,0.12271332740783691,167.0,94.33625030517578,0.25056347250938416,81.15741729736328,1052,//images.igdb.com/igdb/image/upload/t_thumb/co20p9.jpg,The Lord of the Rings: War in the North,5.0,True
62,1058.jpg,48.75,0.3969072103500366,183.0,83.11814880371094,0.22202543914318085,67.97941589355469,1058,//images.igdb.com/igdb/image/upload/t_thumb/co1pnj.jpg,LittleBigPlanet,2.0,False
63,1059.jpg,30.0,0.5981308221817017,176.0,74.67558288574219,0.25556835532188416,81.85144805908203,1059,//images.igdb.com/igdb/image/upload/t_thumb/co25rk.jpg,Kingdoms of Amalur: Reckoning,5.0,True
64,10591.jpg,23.720930099487305,0.7333333492279053,60.0,90.45226287841797,0.305745393037796,58.81313705444336,10591,//images.igdb.com/igdb/image/upload/t_thumb/co21dk.jpg,NecroVisioN,5.0,True
65,10602.jpg,46.5,0.90625,205.0,17.109697341918945,0.1615472435951233,81.85087585449219,10602,//images.igdb.com/igdb/image/upload/t_thumb/co21g7.jpg,PixelJunk Nom Nom Galaxy,2.0,False
66,1062.jpg,206.25,0.24590164422988892,22.0,98.43675231933594,0.3675789535045624,84.16616821289062,1062,//images.igdb.com/igdb/image/upload/t_thumb/co2dft.jpg,Alan Wake,4.0,True
67,1064.jpg,160.0,0.1764705926179886,105.0,117.33660888671875,0.3261078894138336,99.37779235839844,1064,//images.igdb.com/igdb/image/upload/t_thumb/co1ub8.jpg,The Secret World,4.0,True
68,1065.jpg,40.80000305175781,0.30075186491012573,147.0,122.95695495605469,0.2438526302576065,60.06056594848633,1065,//images.igdb.com/igdb/image/upload/t_thumb/co1w4i.jpg,Street Fighter X Tekken,3.0,False
69,1067.jpg,194.60870361328125,0.6887966990470886,231.0,107.64441680908203,0.3168877363204956,79.25120544433594,1067,//images.igdb.com/igdb/image/upload/t_thumb/co1wos.jpg,Super Mario Bros. 2,1.0,False
70,1070.jpg,217.87709045410156,0.8287037014961243,214.0,65.06565856933594,0.23919187486171722,56.49381637573242,1070,//images.igdb.com/igdb/image/upload/t_thumb/co23jy.jpg,Super Mario World,2.0,False
71,1074.jpg,164.3478240966797,0.3990497589111328,212.0,90.37967681884766,0.3015899956226349,53.55534362792969,1074,//images.igdb.com/igdb/image/upload/t_thumb/co21mm.jpg,Super Mario 64,1.0,False
72,1075.jpg,45.0,0.09677419066429138,231.0,102.33055877685547,0.2750903367996216,51.167266845703125,1075,//images.igdb.com/igdb/image/upload/t_thumb/co21rh.jpg,Super Mario Sunshine,1.0,False
73,1076.jpg,196.24453735351562,0.6785714030265808,213.0,113.3856430053711,0.34219124913215637,72.20661926269531,1076,//images.igdb.com/igdb/image/upload/t_thumb/co21rm.jpg,New Super Mario Bros.,1.0,False
